,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,Trace,-,-,2,-,-,-,-,1.6,-,-,-
2,-,-,-,-,2.4,-,0.6,Trace,6.6,-,-,-
3,Trace,-,-,-,-,-,8.8,-,50.4,-,-,-
4,-,-,-,-,-,-,1.6,1,72.4,-,-,-
5,3.8,-,-,-,-,-,-,9,58,-,-,-
6,12.6,-,-,-,-,0.6,-,0.4,8.8,-,-,-
7,24,-,-,Trace,-,13,9.6,0.4,0.2,-,-,-
8,-,-,-,Trace,9.8,7,5.2,-,-,-,-,-
9,-,-,3,-,0.6,1.2,14.8,-,2.2,-,-,-
10,-,-,-,Trace,14,25.4,14,-,2.2,-,-,-
11,-,-,10.4,23,1.4,0.4,15.8,3.6,35.2,-,-,-
12,-,-,3.8,19.2,-,24.8,3.4,-,75,-,-,-
13,-,-,10.4,Trace,-,32.4,-,0.6,8.6,-,-,-
14,-,-,10,-,-,0.2,7,0.2,6,-,-,-
15,2.4,-,-,-,-,Trace,1,-,22.4,-,-,-
16,7.4,3.4,-,-,-,14.6,10.2,5.8,0.2,-,-,-
17,-,8.4,-,-,7.8,12,25,-,0.8,-,-,-
18,-,10.4,-,-,-,0.2,0.8,Trace,-,-,-,-
19,-,-,-,-,-,Trace,-,6.2,-,-,-,-
20,-,-,2.2,Trace,10,-,-,-,18.2,-,-,-
21,-,*1.8,-,-,-,Trace,17.6,Trace,-,-,-,-
22,-,-,16.6,-,-,-,105,-,1.2,-,-,-
23,-,-,10,-,2.2,1,-,6.6,2.4,-,-,-
24,-,15,33.6,-,-,-,-,Trace,Trace,-,-,-
25,-,18.2,33.8,1.6,-,33.8,-,27.2,61.4,-,-,-
26,-,14,2.6,Trace,16.4,-,-,0.2,0.8,-,-,-
27,-,-,-,-,1,-,-,-,-,-,-,-
28,1.6,0.8,-,Trace,Trace,-,-,-,-,-,-,-
29,2.4,-,-,Trace,5.2,Trace,Trace,0.4,-,-,-,-
30,3.2,-,-,-,-,-,Trace,40,-,-,-,-
31,-,-,Trace,-,2,-,-,6,-,-,-,-
